"Year","c","chemistry","MWh","chem_share_mwh"
"2015","Italy","NMC 111",1.91786602148774,0.0420977935854053
"2015","Italy","NMC 532",3.69255875786612,0.0810528862021564
"2015","Italy","NMC 622",2.8243463773987,0.0619953372536339
"2015","Japan","NMC 811",39.8464857822449,0.120145833367742
"2015","Japan","LMO",226.425,0.682720691329138
"2015","Japan","NCA",43.69,0.131734865868036
"2015","Japan","NMC 111",0.0268120859903095,8.08442790472803e-05
"2015","Japan","NMC 532",12.2743539786762,0.0370098506522706
"2015","Japan","NMC 622",9.38834815308859,0.0283079145037663
"2015","Malaysia","NMC 811",0.0854741309681541,0.251394502847512
"2015","Malaysia","LMO",0.208,0.611764705882353
"2015","Malaysia","NMC 111",5.75142250182147e-05,0.00016915948534769
"2015","Malaysia","NMC 532",0.0263295424659591,0.0774398307822326
"2015","Malaysia","NMC 622",0.0201388123408687,0.0592318010025549
"2015","Mexico","NMC 811",1.76258018557057,0.357217013005263
"2015","Mexico","LMO",2.2122,0.448340156459
"2015","Mexico","NMC 111",0.00118601303408773,0.000240365821022198
"2015","Mexico","NMC 532",0.542947080245005,0.110037509676342
"2015","Mexico","NMC 622",0.415286721150337,0.0841649550383723
"2015","Morocco","LMO",0.1525,1
"2015","Netherlands","NMC 811",17.8104777811005,0.0841795702991652
"2015","Netherlands","LMO",15.9684,0.0754731606241126
"2015","Netherlands","NCA",164.739,0.778623594602821
"2015","Netherlands","NMC 111",3.37658439592402,0.0159591127773882
"2015","Netherlands","NMC 532",5.48635857147498,0.0259307646167686
"2015","Netherlands","NMC 622",4.19637925150046,0.0198337970797442
"2015","New Zealand","NMC 811",0.641055982261155,0.17563177596196
"2015","New Zealand","LMO",0.875,0.23972602739726
"2015","New Zealand","NCA",1.785,0.489041095890411
"2015","New Zealand","NMC 111",0.00043135668763661,0.000118179914420989
"2015","New Zealand","NMC 532",0.197471568494693,0.0541017995875871
"2015","New Zealand","NMC 622",0.151041092556515,0.0413811212483602
"2015","Norway","NMC 811",222.564794565386,0.256591584154181
"2015","Norway","LMO",88.3446,0.101851152648528
"2015","Norway","NCA",381.171,0.439446278620223
"2015","Norway","NMC 111",54.3106604190973,0.0626139386537248
"2015","Norway","NMC 532",68.5590966946492,0.0790407452508916
"2015","Norway","NMC 622",52.4391483208676,0.0604563006724519
"2015","Poland","NMC 811",1.06324638674022,0.262834990418565
"2015","Poland","LMO",0.6183,0.152844041233036
"2015","Poland","NCA",1.785,0.441252811905174
"2015","Poland","NMC 111",0.000715442102120519,0.0001768576130622
"2015","Poland","NMC 532",0.327523550978067,0.0809639707754843
"2015","Poland","NMC 622",0.250514620179593,0.0619273280546791
"2015","Portugal","NMC 811",6.30449419645562,0.34910732084765
"2015","Portugal","LMO",6.2403,0.34555260840915
"2015","Portugal","NCA",1.581,0.0875468605507534
"2015","Portugal","NMC 111",0.505642196951684,0.027999612210693
"2015","Portugal","NMC 532",1.94204311634144,0.107539391454709
"2015","Portugal","NMC 622",1.48542049025125,0.082254206527045
"2015","Rest of EU","NMC 811",2.85975721217997,0.224908551354282
"2015","Rest of EU","LMO",0.8795,0.069169183339625
"2015","Rest of EU","NCA",6.63,0.521423178557946
"2015","Rest of EU","NMC 111",0.791224286540685,0.0622266489351866
"2015","Rest of EU","NMC 532",0.880922661717134,0.0692810700356372
"2015","Rest of EU","NMC 622",0.673795839562214,0.0529913677773228
"2015","Rest of South America","LMO",0.1965,1
"2015","Rest of South Asia/Oceania","NMC 811",0.258623999308187,0.00326300728125859
"2015","Rest of South Asia/Oceania","LMO",77.9,0.982848722044325
"2015","Rest of South Asia/Oceania","NCA",0.96,0.0121121280251932
"2015","Rest of South Asia/Oceania","NMC 111",0.000174024102062689,2.19562729547144e-06
"2015","Rest of South Asia/Oceania","NMC 532",0.0796668125826065,0.00100514024308292
"2015","Rest of South Asia/Oceania","NMC 622",0.0609351640071435,0.000768806778844446
"2015","Romania","NMC 811",0.31625428458217,0.113442242837424
"2015","Romania","LMO",0.1098,0.0393858956883564
"2015","Romania","NCA",2.04,0.731759810603343
"2015","Romania","NMC 111",0.149812802632567,0.053738719647237
"2015","Romania","NMC 532",0.0974193071240486,0.0349448694755896
"2015","Romania","NMC 622",0.074513605661214,0.0267284617480501
"2015","Russia","NMC 811",0.322470585016218,0.0457534882259105
"2015","Russia","LMO",0.175,0.0248297389330306
"2015","Russia","NCA",6.375,0.904511918274688
"2015","Russia","NMC 111",0.000216985485295992,3.07868168694654e-05
"2015","Russia","NMC 532",0.0993341829397547,0.0140939533115429
"2015","Russia","NMC 622",0.0759782465587317,0.0107801144379585
"2015","Slovakia","LMO",0.375,1
"2015","South Africa","NMC 811",1.16814645656477,0.461900536403627
"2015","South Africa","LMO",0.725,0.286674574930803
"2015","South Africa","NMC 111",0.000786027741915601,0.000310805750065481
"2015","South Africa","NMC 532",0.359837080368107,0.142284333874301
"2015","South Africa","NMC 622",0.275230435325205,0.108829749041204
"2015","South Korea","NMC 811",7.08593496351901,0.0959550494474885
"2015","South Korea","LMO",24.696,0.334423885253716
"2015","South Korea","NMC 111",38.2121680163968,0.51745471703965
"2015","South Korea","NMC 532",2.18275896367417,0.0295580957727684
"2015","South Korea","NMC 622",1.66953805641004,0.0226082524863777
"2015","Spain","NMC 811",16.9148124935615,0.365028766561603
"2015","Spain","LFP",0.12,0.0025896504619289
"2015","Spain","LMO",15.8851,0.34280713793989
"2015","Spain","NCA",1.242,0.0268028822809641
"2015","Spain","NMC 111",2.98058171656004,0.0643222068258879
"2015","Spain","NMC 532",5.21045688102866,0.112443850573471
"2015","Spain","NMC 622",3.98534890884978,0.0860055053562556
"2015","Sweden","NMC 811",19.7889449004952,0.13648640098446
"2015","Sweden","LMO",24.6599,0.170081882412662
"2015","Sweden","NCA",85.332,0.588543635214955
"2015","Sweden","NMC 111",4.44921567594766,0.0306867009770965
"2015","Sweden","NMC 532",6.09580769306961,0.0420434165289748
"2015","Sweden","NMC 622",4.6625317304875,0.032157963881852
"2015","Switzerland","NMC 811",24.955597105002,0.132379058696293
"2015","Switzerland","LMO",6.488,0.0344161403635337
"2015","Switzerland","NCA",137.244,0.72802231320173
"2015","Switzerland","NMC 111",6.26139223656449,0.0332140804692885
"2015","Switzerland","NMC 532",7.68734874864452,0.0407781864298374
"2015","Switzerland","NMC 622",5.87986190978895,0.0311902208393175
"2015","Thailand","NMC 111",1.02,1
"2015","Turkey","NMC 811",1.69523693086839,0.617325272520443
"2015","Turkey","LMO",0.1281,0.0466479734896763
"2015","Turkey","NMC 111",0.00114069879619459,0.000415388658896104
"2015","Turkey","NMC 532",0.522202592241522,0.190161535356149
"2015","Turkey","NMC 622",0.399419778093895,0.145449829974835
"2015","United Arab Emirates","NMC 811",0.455862031830155,0.647531295213288
"2015","United Arab Emirates","NMC 111",0.000306742533430478,0.000435713825895566
"2015","United Arab Emirates","NMC 532",0.140424226485115,0.19946623080272
"2015","United Arab Emirates","NMC 622",0.107406999151299,0.152566760158096
"2015","United Kingdom","NMC 811",73.8983435098852,0.192704305720591
"2015","United Kingdom","LMO",134.8336,0.351604840402576
"2015","United Kingdom","NCA",130.074,0.339193257545038
"2015","United Kingdom","NMC 111",4.49942505609545,0.0117331260809753
"2015","United Kingdom","NMC 532",22.763724551145,0.0593608398631612
"2015","United Kingdom","NMC 622",17.4114068828744,0.0454036303876583
"2015","United States","NMC 811",394.692729015314,0.123903955310412
"2015","United States","LMO",431.725,0.135529314765543
"2015","United States","NCA",2113.7636,0.663563454245981
"2015","United States","NMC 111",30.7155826525817,0.00964239242464251
"2015","United States","NMC 532",121.581569205844,0.0381675065437197
"2015","United States","NMC 622",92.9947191262609,0.0291933767097023
"2015","Western Europe non EU","NMC 811",1.6218068819912,0.208182853290785
"2015","Western Europe non EU","LMO",2.325,0.298448070035814
"2015","Western Europe non EU","NCA",1.615,0.207309089508748
"2015","Western Europe non EU","NMC 111",1.34679128884834,0.172880542321648
"2015","Western Europe non EU","NMC 532",0.499583121668493,0.0641288681653458
"2015","Western Europe non EU","NMC 622",0.382118707491967,0.049050576677659
"2016","Australia","NMC 811",1.54889485815019,0.038234876774875
"2016","Australia","LMO",1.218,0.0300666502098247
"2016","Australia","NCA",36.9,0.91088620093804
"2016","Australia","NMC 111",0.00104222747154219,2.57276591345888e-05
"2016","Australia","NMC 532",0.477123224080107,0.0117779122211826
"2016","Australia","NMC 622",0.364939690298165,0.00900863219694311
"2016","Austria","NMC 811",35.8610601664662,0.248555462523825
"2016","Austria","LMO",11.7462,0.0814137161685885
"2016","Austria","NCA",68.218,0.472823627180601
"2016","Austria","NMC 111",8.95663035453469,0.0620790180237908
"2016","Austria","NMC 532",11.0466792213316,0.0765652897729424
"2016","Austria","NMC 622",8.44933025766754,0.0585628863302525
"2016","Belgium","NMC 811",13.9882300517155,0.123792385244944
"2016","Belgium","LMO",15.5531,0.137641098254386
"2016","Belgium","NCA",74.598,0.660173897652603
"2016","Belgium","NMC 111",1.25341246435253,0.0110923911091177
"2016","Belgium","NMC 532",4.30894930429268,0.0381331383817579
"2016","Belgium","NMC 622",3.29580817963925,0.0291670893571915
"2016","Brazil","NMC 811",0.420895341888637,0.629800002826032
"2016","Brazil","LMO",0.0183,0.0273829118659285
"2016","Brazil","NMC 111",0.000283213986832118,0.000423782712602301
"2016","Brazil","NMC 532",0.129653050021768,0.19400426458442
"2016","Brazil","NMC 622",0.0991683941027623,0.148389038011016
"2016","Canada","NMC 811",9.04432861276208,0.0312234300224331
"2016","Canada","LMO",39.8994,0.137743350244835
"2016","Canada","NCA",214.558,0.740711332547137
"2016","Canada","NMC 111",21.2460857892918,0.0733471439722459
"2016","Canada","NMC 532",2.78602463211391,0.00961809868549411
"2016","Canada","NMC 622",2.13096096583219,0.00735664452785491
"2016","Chile","LMO",0.0061,1
"2016","China","NMC 811",3234.168160226,0.3220583962513
"2016","China","LFP",3141.3208,0.312812658104999
"2016","China","LMO",419.6802,0.041791745343563
"2016","China","NCA",914.545,0.0910703715477376
"2016","China","NMC 111",574.196621895526,0.0571784873324784
"2016","China","NMC 532",996.256609481644,0.0992072118729889
"2016","China","NMC 622",762.011908396832,0.0758811295469333
"2016","Colombia","NMC 811",0.602204104548358,0.2686731973536
"2016","Colombia","LFP",0.082,0.0365842776835906
"2016","Colombia","LMO",1.2294,0.54849647541715
"2016","Colombia","NMC 111",0.000405213858082876,0.000180786052504183
"2016","Colombia","NMC 532",0.18550359464653,0.0827623782664986
"2016","Colombia","NMC 622",0.141887086947029,0.0633028852266571
"2016","Czechia","NMC 811",1.80622379486795,0.210576950727828
"2016","Czechia","LMO",1.118,0.130341008452346
"2016","Czechia","NCA",4.09,0.476828912853396
"2016","Czechia","NMC 111",0.581315380145953,0.0677721224303064
"2016","Czechia","NMC 532",0.556391104201108,0.0648663484932799
"2016","Czechia","NMC 622",0.425569720784993,0.0496146570428438
"2016","Denmark","NMC 811",15.4181086578055,0.35619157828872
"2016","Denmark","LMO",2.532,0.0584946634015617
"2016","Denmark","NCA",15.244,0.35216929261193
"2016","Denmark","NMC 111",1.70977460762287,0.0394994826877713
"2016","Denmark","NMC 532",4.74941063515125,0.109721633672579
"2016","Denmark","NMC 622",3.63270609942036,0.0839233493374383
"2016","Eastern Europe/Central Asia","NMC 811",0.834020308234715,0.0812093776275283
"2016","Eastern Europe/Central Asia","LMO",4.872,0.474391431353457
"2016","Eastern Europe/Central Asia","NCA",4.11,0.400194741966894
"2016","Eastern Europe/Central Asia","NMC 111",0.000561199407753489,5.46445382427935e-05
"2016","Eastern Europe/Central Asia","NMC 532",0.256912505273904,0.0250158232983353
"2016","Eastern Europe/Central Asia","NMC 622",0.196505987083627,0.0191339812155431
"2016","Finland","NMC 811",0.646883763918075,0.048451720376454
"2016","Finland","LMO",2.03,0.152047396843706
"2016","Finland","NCA",10.266,0.768925406895312
"2016","Finland","NMC 111",0.0565352781120697,0.00423450338264785
"2016","Finland","NMC 532",0.199266764571918,0.0149251196209988
"2016","Finland","NMC 622",0.152414193397938,0.0114158528808816
"2016","France","NMC 811",281.926708029028,0.38284405685684
"2016","France","LMO",186.5362,0.253307946799087
"2016","France","NCA",80.772,0.109684819776836
"2016","France","NMC 111",33.8954041355152,0.046028466471884
"2016","France","NMC 532",86.845003830504,0.117931691596933
"2016","France","NMC 622",66.4255840049529,0.0902030184984196
"2016","Germany","NMC 811",151.297888732989,0.302779079920961
"2016","Germany","LMO",41.6495,0.0833494597629405
"2016","Germany","NCA",171.804,0.343816146294967
"2016","Germany","NMC 111",52.6922060168475,0.10544825040449
"2016","Germany","NMC 532",46.6059630122403,0.0932683907082154
"2016","Germany","NMC 622",35.6477422379236,0.071338672908426
"2016","Greece","NMC 811",0.664367108888834,0.519036803819401
"2016","Greece","NCA",0.254,0.1984375
"2016","Greece","NMC 111",0.000447042385368851,0.000349251863569415
"2016","Greece","NMC 532",0.204652352803591,0.159884650627805
"2016","Greece","NMC 622",0.156533495922206,0.122291793689224
"2016","Hungary","NMC 811",2.68725487513515,0.317226201453784
"2016","Hungary","LMO",2.771,0.327112181416817
"2016","Hungary","NCA",1.314,0.155115628430782
"2016","Hungary","NMC 111",0.237908212377467,0.028084689400133
"2016","Hungary","NMC 532",0.827784857831289,0.0977186974337795
"2016","Hungary","NMC 622",0.633152054656098,0.0747426018647044
"2016","India","LFP",9.63,1
"2016","Ireland","NMC 811",1.12994211014719,0.0899112864455522
"2016","Ireland","LMO",10.2483,0.815473490725932
"2016","Ireland","NCA",0.574,0.0456740906956944
"2016","Ireland","NMC 111",0.000760320626187762,6.04999185336359e-05
"2016","Ireland","NMC 532",0.348068572750747,0.0276963685716699
"2016","Ireland","NMC 622",0.266228996475877,0.0211842636426183
"2016","Israel","NMC 811",0.0654006608165421,0.503082006281093
"2016","Israel","LMO",0.029,0.223076923076923
"2016","Israel","NMC 111",4.40070964154522e-05,0.000338516126272709
"2016","Israel","NMC 532",0.0201460893110747,0.154969917777498
"2016","Israel","NMC 622",0.0154092427759677,0.118532636738213
"2016","Italy","NMC 811",14.8432303739152,0.236436234631249
"2016","Italy","LMO",16.005,0.254941939183485
"2016","Italy","NCA",22.384,0.356552350308224
"2016","Italy","NMC 111",1.47718778088824,0.0235299667227614
"2016","Italy","NMC 532",4.5723245154446,0.0728320698871373
"2016","Italy","NMC 622",3.497257329752,0.0557074392671435
"2016","Japan","NMC 811",24.8815195248296,0.0514382597168126
"2016","Japan","LMO",429.055,0.886997375733953
"2016","Japan","NCA",16.236,0.033565135920608
"2016","Japan","NMC 111",0.0167423909028023,3.46120119665256e-05
"2016","Japan","NMC 532",7.66452981184069,0.0158450963846997
"2016","Japan","NMC 622",5.86240827242686,0.0121195202319601
"2016","Malaysia","LMO",2.7855,0.772569685203162
"2016","Malaysia","NCA",0.82,0.227430314796838
"2016","Mexico","NMC 811",0.0369092838271574,0.00934648868755569
"2016","Mexico","LMO",3.892,0.985565966067359
"2016","Mexico","NMC 111",2.48356880760473e-05,6.28910814789751e-06
"2016","Mexico","NMC 532",0.0113695751557551,0.0028791023438225
"2016","Mexico","NMC 622",0.00869630532901146,0.00220215379311508
"2016","Morocco","LMO",0.0122,1
"2016","Netherlands","NMC 811",19.757863398325,0.0832131121924393
"2016","Netherlands","LMO",20.7263,0.0872918236381961
"2016","Netherlands","NCA",182.902,0.770318345632039
"2016","Netherlands","NMC 111",3.30929476168402,0.0139375756745646
"2016","Netherlands","NMC 532",6.08623331399108,0.0256330558307958
"2016","Netherlands","NMC 622",4.65520852599991,0.0196060870319648
"2016","New Zealand","NMC 811",1.5601619026869,0.303097078658526
"2016","New Zealand","LMO",0.77,0.149590084314411
"2016","New Zealand","NCA",1.968,0.382328942767222
"2016","New Zealand","NMC 111",0.00104980889211278,0.00020394935153918
"2016","New Zealand","NMC 532",0.480593936496074,0.0933663473784967
"2016","New Zealand","NMC 622",0.367594351924916,0.0714135975298046
"2016","Norway","NMC 811",204.720127131898,0.240486196171275
"2016","Norway","LMO",128.4616,0.150904759443471
"2016","Norway","NCA",349.942,0.411079367913579
"2016","Norway","NMC 111",56.8553530174832,0.0667883894500529
"2016","Norway","NMC 532",63.0622063061879,0.0740796243594179
"2016","Norway","NMC 622",48.2347135444308,0.0566616626622045
"2016","Poland","NMC 811",2.01783702214365,0.338075431783609
"2016","Poland","LMO",0.725,0.121469021211004
"2016","Poland","NCA",2.09,0.350165868042757
"2016","Poland","NMC 111",0.0387577714242558,0.00649361180582645
"2016","Poland","NMC 532",0.621576668427437,0.104141116581349
"2016","Poland","NMC 622",0.475428538004658,0.0796549505754546
"2016","Portugal","NMC 811",7.41630543033683,0.291258116888695
"2016","Portugal","LMO",10.2882,0.404045085025331
"2016","Portugal","NCA",2.762,0.108471114951106
"2016","Portugal","NMC 111",0.964590317590747,0.0378820373715095
"2016","Portugal","NMC 532",2.28452663462972,0.0897194609680601
"2016","Portugal","NMC 622",1.7473776174427,0.0686241847952992
"2016","Rest of EU","NMC 811",5.5524513501949,0.210085372413209
"2016","Rest of EU","LMO",3.6234,0.137096804706862
"2016","Rest of EU","NCA",12.648,0.478556158837662
"2016","Rest of EU","NMC 111",1.58703615891429,0.0600479070324557
"2016","Rest of EU","NMC 532",1.71038303588717,0.0647149221849511
"2016","Rest of EU","NMC 622",1.30822945500364,0.0494988348248601
"2016","Rest of South America","NMC 811",0.420895341888637,0.455218842622364
"2016","Rest of South America","LMO",0.2746,0.296993294397577
"2016","Rest of South America","NMC 111",0.000283213986832118,0.000306309741328269
"2016","Rest of South America","NMC 532",0.129653050021768,0.140226097795553
"2016","Rest of South America","NMC 622",0.0991683941027623,0.107255455443178
"2016","Rest of South Asia/Oceania","NMC 811",0.514916885953607,0.0362995859031672
"2016","Rest of South Asia/Oceania","LMO",12.238,0.862730169472408
"2016","Rest of South Asia/Oceania","NCA",1.152,0.0812114034345656
"2016","Rest of South Asia/Oceania","NMC 111",0.000346479634352154,2.44254317423902e-05
"2016","Rest of South Asia/Oceania","NMC 532",0.158615546734323,0.0111817631569751
"2016","Rest of South Asia/Oceania","NMC 622",0.121321087677718,0.00855265260114188
"2016","Romania","NMC 811",0.882585155375712,0.359154047113092
"2016","Romania","LMO",0.1344,0.0546919508423537
"2016","Romania","NCA",0.96,0.390656791731098
"2016","Romania","NMC 111",0.000593877944695656,0.000241669221411108
"2016","Romania","NMC 532",0.271872472584108,0.110634195728863
"2016","Romania","NMC 622",0.207948494095485,0.0846213453631825
"2016","Russia","NMC 811",0.24217670440977,0.013520964782358
"2016","Russia","LMO",5.3632,0.299432757157533
"2016","Russia","NCA",12.174,0.679686453168967
"2016","Russia","NMC 111",0.000162956970884942,9.09804875636147e-06
"2016","Russia","NMC 532",0.0746003703202174,0.00416501241235749
"2016","Russia","NMC 622",0.0570599682991278,0.00318571443002858
"2016","Singapore","NCA",0.164,1
"2016","Slovakia","NMC 811",0.393569521230637,0.22753629024145
"2016","Slovakia","LMO",0.6315,0.365092212522403
"2016","Slovakia","NCA",0.056,0.0323755564548766
"2016","Slovakia","NMC 111",0.434664826863379,0.251294922161866
"2016","Slovakia","NMC 532",0.121235575081893,0.0700905215250583
"2016","Slovakia","NMC 622",0.0927300768240907,0.0536104970943462
"2016","South Africa","NMC 811",1.56573067182573,0.597379119353579
"2016","South Africa","LMO",0.203,0.0774513544448684
"2016","South Africa","NMC 111",0.00105355603101548,0.000401967199929599
"2016","South Africa","NMC 532",0.482309346080978,0.184017301061037
"2016","South Africa","NMC 622",0.368906426062276,0.140750257940586
"2016","South Korea","NMC 811",75.4030767337018,0.482584632762331
"2016","South Korea","LMO",16.4471,0.105262517888183
"2016","South Korea","NCA",0.164,0.00104961074801406
"2016","South Korea","NMC 111",23.2410375678841,0.148744163574693
"2016","South Korea","NMC 532",23.2272441782844,0.148655884977282
"2016","South Korea","NMC 622",17.7659415201298,0.113703190049497
"2016","Spain","NMC 811",25.8008844577735,0.351875026700309
"2016","Spain","LFP",0.328,0.00447329660138563
"2016","Spain","LMO",25.4061,0.346490917025803
"2016","Spain","NCA",4.974,0.0678359063880858
"2016","Spain","NMC 111",2.78826101739281,0.0380265808929247
"2016","Spain","NMC 532",7.94773196633439,0.108391958517462
"2016","Spain","NMC 622",6.07902255849933,0.0829063138740294
"2016","Sweden","NMC 811",19.3363205251411,0.122387972334936
"2016","Sweden","LMO",29.5367,0.186950605093929
"2016","Sweden","NCA",94.974,0.601131702871031
"2016","Sweden","NMC 111",3.63271111198336,0.0229930066837774
"2016","Sweden","NMC 532",5.95638079773851,0.0377005215310808
"2016","Sweden","NMC 622",4.55588756513699,0.028836191485246
"2016","Switzerland","NMC 811",20.7307144162534,0.109049849351501
"2016","Switzerland","LMO",6.4586,0.0339741961072702
"2016","Switzerland","NCA",147.038,0.773464504261109
"2016","Switzerland","NMC 111",4.60544937813605,0.0242260614273836
"2016","Switzerland","NMC 532",6.38591137914909,0.0335918319014739
"2016","Switzerland","NMC 622",4.88442482646144,0.0256935569512619
"2016","Thailand","NMC 811",0.290094020255553,0.160805997924364
"2016","Thailand","NCA",0.246,0.136363636363636
"2016","Thailand","NMC 111",1.110195199794,0.615407538688471
"2016","Thailand","NMC 532",0.0893608713996187,0.0495348511084361
"2016","Thailand","NMC 622",0.0683499085508269,0.0378879759150925
"2016","Turkey","NMC 811",0.743365926904855,0.60569211024595
"2016","Turkey","LMO",0.0793,0.064613378961949
"2016","Turkey","NMC 111",0.00050019947212811,0.000407560883344015
"2016","Turkey","NMC 532",0.228987232961523,0.186578043641752
"2016","Turkey","NMC 622",0.175146640661494,0.142708906267004
"2016","United Arab Emirates","LMO",0.0366,1
"2016","United Kingdom","NMC 811",87.8984881374326,0.184153493503046
"2016","United Kingdom","LMO",139.741,0.292767189526326
"2016","United Kingdom","NCA",196.742,0.412188279758899
"2016","United Kingdom","NMC 111",5.14314553758237,0.0107752503872368
"2016","United Kingdom","NMC 532",27.0763440340845,0.0567268385477906
"2016","United Kingdom","NMC 622",20.7100222909006,0.0433889482767013
"2016","United States","NMC 811",334.687298950489,0.0665248117050761
"2016","United States","LMO",406.174,0.0807340133737636
"2016","United States","NCA",4056.134,0.806225845577948
"2016","United States","NMC 111",52.0652059237636,0.0103488481078476
