"Year","c","MWh","unit","kwh_veh_total"
"2017","Turkey",2.478,77,32.1818181818182
"2017","United Arab Emirates",36.3527,432,84.1497685185185
"2017","United Kingdom",759.637,16936,44.8533892300425
"2017","United States",6729.2367,106700,63.066885660731
"2017","Uruguay",2.3915,55,43.4818181818182
"2017","Western Europe non EU",27.9137,893,31.2583426651736
"2018","Argentina",0.198,6,33
"2018","Australia",146.166,1803,81.0682196339434
"2018","Austria",289.1078,7235,39.9596129923981
"2018","Belgium",201.4968,4401,45.7843217450579
"2018","Brazil",3.968,75,52.9066666666667
"2018","Canada",1226.813,21307,57.5779321349791
"2018","Chile",1.7031,65,26.2015384615385
"2018","China",35741.88,886780,40.3052391799544
"2018","Colombia",10.6965,389,27.4974293059126
"2018","Czechia",31.4815,762,41.3143044619423
"2018","Denmark",64.8763,1613,40.2208927464352
"2018","Eastern Europe/Central Asia",54.2786,1209,44.8954507857734
"2018","Egypt",0.132,4,33
"2018","Finland",43.055,883,48.7599093997735
"2018","France",1410.8028,40141,35.1461797164993
"2018","Germany",1518.2413,42769,35.4986392012907
"2018","Greece",2.9223,79,36.9911392405063
"2018","Hungary",51.0787,1426,35.8195652173913
"2018","India",33.39,1797,18.5809682804674
"2018","Indonesia",1.2,14,85.7142857142857
"2018","Ireland",55.8655,1332,41.9410660660661
"2018","Israel",4.781,130,36.7769230769231
"2018","Italy",214.0447,5839,36.6577667408803
"2018","Japan",1094.131,27376,39.9667957334892
"2018","Malaysia",5.305,62,85.5645161290323
"2018","Mexico",16.1357,303,53.2531353135314
"2018","Morocco",0.1202,5,24.04
"2018","Netherlands",1561.3134,24961,62.5501141781179
"2018","New Zealand",43.6762,808,54.054702970297
"2018","Norway",2254.1159,47993,46.967597357948
"2018","Poland",30.2539,747,40.5005354752343
"2018","Portugal",186.9943,4736,39.48359375
"2018","Rest of EU",83.2904,2148,38.775791433892
"2018","Rest of Middle East/Africa",6.5294,176,37.0988636363636
"2018","Rest of South America",7.9249,275,28.8178181818182
"2018","Rest of South Asia/Oceania",4.735,54,87.6851851851852
"2018","Romania",17.5207,528,33.1831439393939
"2018","Russia",8.7357,151,57.8523178807947
"2018","Singapore",21.247,511,41.5792563600783
"2018","Slovakia",10.8106,322,33.5732919254658
"2018","South Africa",2.406,66,36.4545454545455
"2018","South Korea",1540.5922,32084,48.0174604164069
"2018","Spain",269.135,7713,34.8936859847012
"2018","Sweden",361.6767,8130,44.4866789667897
"2018","Switzerland",277.9973,5690,48.8571704745167
"2018","Thailand",11.538,210,54.9428571428572
"2018","Turkey",10.7866,192,56.1802083333333
"2018","United Arab Emirates",17.2325,216,79.7800925925926
"2018","United Kingdom",864.6987,18304,47.2409691870629
"2018","United States",17079.83,236407,72.247564581421
"2018","Uruguay",0.7275,35,20.7857142857143
"2018","Vietnam",0.0912,3,30.4
"2018","Western Europe non EU",30.7587,809,38.0206427688504
"2019","Argentina",1.215,35,34.7142857142857
"2019","Australia",446.2424,6289,70.9560184449038
"2019","Austria",552.3354,9719,56.8304763864595
"2019","Belgium",614.5278,9330,65.8657877813505
"2019","Brazil",5.2583,97,54.2092783505155
"2019","Canada",2150.9692,32402,66.3838405036726
"2019","Chile",4.79,161,29.7515527950311
"2019","China",49022.6564,973245,50.370314155223
"2019","Colombia",34.7753,960,36.2242708333333
"2019","Czechia",41.8291,817,51.1984088127295
"2019","Denmark",362.4708,5728,63.2805167597765
"2019","Eastern Europe/Central Asia",49.4103,835,59.1740119760479
"2019","Egypt",0.287,7,41
"2019","Finland",132.9652,1957,67.9433827286663
"2019","France",2312.477,50765,45.5525854427263
"2019","Germany",3250.32,68402,47.5179088330751
"2019","Greece",8.9777,201,44.6651741293532
"2019","Hungary",78.0543,1899,41.1028436018957
"2019","India",26.976,792,34.0606060606061
"2019","Indonesia",5.526,102,54.1764705882353
"2019","Ireland",195.5683,3790,51.6011345646438
"2019","Israel",54.5823,851,64.1390129259695
