"Year","MWh","unit","kwh_veh_total"
"2015",11071.8595,327395,33.8180470074375
"2016",19818.0635,511584,38.7386304106462
"2017",32536.0799,851436,38.2131832574615
"2018",66928.4886,1441074,46.443477989333
"2019",94185.5063,1701614,55.3506884052435
"2020",125496.785248,2263759,55.4373434840016
"2021",264940.99384,4826145,54.897023160307
"2022",458003.37583,7691034,59.5502991964409
"2023",625081.23115,10020681,62.3791168634148
"2024",715588.9265,11302866,63.3103963631879
