"c","Year","capacity_scenario","kwh_veh"
"Poland",2022,"High Capacity",67.205335007061
"Portugal",2022,"Baseline",62.964646569109
"Portugal",2022,"Low Capacity",62.964646569109
"Portugal",2022,"High Capacity",62.964646569109
"Rest of EU",2022,"Baseline",62.0376294868706
"Rest of EU",2022,"Low Capacity",62.0376294868706
"Rest of EU",2022,"High Capacity",62.0376294868706
"Rest of Middle East/Africa",2022,"Baseline",71.8581325301205
"Rest of Middle East/Africa",2022,"Low Capacity",71.8581325301205
"Rest of Middle East/Africa",2022,"High Capacity",71.8581325301205
"Rest of South America",2022,"Baseline",66.7401107458038
"Rest of South America",2022,"Low Capacity",66.7401107458038
"Rest of South America",2022,"High Capacity",66.7401107458038
"Rest of South Asia/Oceania",2022,"Baseline",61.2342261904762
"Rest of South Asia/Oceania",2022,"Low Capacity",61.2342261904762
"Rest of South Asia/Oceania",2022,"High Capacity",61.2342261904762
"Romania",2022,"Baseline",41.8641768162848
"Romania",2022,"Low Capacity",41.8641768162848
"Romania",2022,"High Capacity",41.8641768162848
"Russia",2022,"Baseline",67.1887139107612
"Russia",2022,"Low Capacity",67.1887139107612
"Russia",2022,"High Capacity",67.1887139107612
"Saudi Arabia",2022,"Baseline",90.219587628866
"Saudi Arabia",2022,"Low Capacity",90.219587628866
"Saudi Arabia",2022,"High Capacity",90.219587628866
"Singapore",2022,"Baseline",68.9119005328597
"Singapore",2022,"Low Capacity",68.9119005328597
"Singapore",2022,"High Capacity",68.9119005328597
"Slovakia",2022,"Baseline",67.5311995027968
"Slovakia",2022,"Low Capacity",67.5311995027968
"Slovakia",2022,"High Capacity",67.5311995027968
"South Africa",2022,"Baseline",75.2484090909091
"South Africa",2022,"Low Capacity",75.2484090909091
"South Africa",2022,"High Capacity",75.2484090909091
"South Korea",2022,"Baseline",71.1206068712597
"South Korea",2022,"Low Capacity",71.1206068712597
"South Korea",2022,"High Capacity",71.1206068712597
"Spain",2022,"Baseline",59.6912233439202
"Spain",2022,"Low Capacity",59.6912233439202
"Spain",2022,"High Capacity",59.6912233439202
"Sweden",2022,"Baseline",68.9409241122997
"Sweden",2022,"Low Capacity",68.9409241122997
"Sweden",2022,"High Capacity",68.9409241122997
"Switzerland",2022,"Baseline",69.0581543394714
"Switzerland",2022,"Low Capacity",69.0581543394714
"Switzerland",2022,"High Capacity",69.0581543394714
"Thailand",2022,"Baseline",53.1547222779226
"Thailand",2022,"Low Capacity",53.1547222779226
"Thailand",2022,"High Capacity",53.1547222779226
"Turkey",2022,"Baseline",76.6049610894942
"Turkey",2022,"Low Capacity",76.6049610894942
"Turkey",2022,"High Capacity",76.6049610894942
"United Arab Emirates",2022,"Baseline",80.8975880971026
"United Arab Emirates",2022,"Low Capacity",80.8975880971026
"United Arab Emirates",2022,"High Capacity",80.8975880971026
"United Kingdom",2022,"Baseline",67.29287147958
"United Kingdom",2022,"Low Capacity",67.29287147958
"United Kingdom",2022,"High Capacity",67.29287147958
"United States",2022,"Baseline",82.2872169510168
"United States",2022,"Low Capacity",82.2872169510168
"United States",2022,"High Capacity",82.2872169510168
"Uruguay",2022,"Baseline",60.0007896625987
"Uruguay",2022,"Low Capacity",60.0007896625987
"Uruguay",2022,"High Capacity",60.0007896625987
"Venezuela",2022,"Baseline",66.7401107458038
"Venezuela",2022,"Low Capacity",66.7401107458038
"Venezuela",2022,"High Capacity",66.7401107458038
"Vietnam",2022,"Baseline",64.0874433301278
"Vietnam",2022,"Low Capacity",64.0874433301278
"Vietnam",2022,"High Capacity",64.0874433301278
"Western Europe non EU",2022,"Baseline",70.7723560061963
"Western Europe non EU",2022,"Low Capacity",70.7723560061963
"Western Europe non EU",2022,"High Capacity",70.7723560061963
"Argentina",2023,"Baseline",39.8579216354344
"Argentina",2023,"Low Capacity",39.8579216354344
"Argentina",2023,"High Capacity",39.8579216354344
"Australia",2023,"Baseline",69.874631065962
"Australia",2023,"Low Capacity",69.874631065962
"Australia",2023,"High Capacity",69.874631065962
"Austria",2023,"Baseline",70.9192031762879
"Austria",2023,"Low Capacity",70.9192031762879
"Austria",2023,"High Capacity",70.9192031762879
"Belgium",2023,"Baseline",73.1697899354839
"Belgium",2023,"Low Capacity",73.1697899354839
"Belgium",2023,"High Capacity",73.1697899354839
"Bolivia",2023,"Baseline",66.4348214285714
"Bolivia",2023,"Low Capacity",66.4348214285714
"Bolivia",2023,"High Capacity",66.4348214285714
"Brazil",2023,"Baseline",58.9843450972322
"Brazil",2023,"Low Capacity",58.9843450972322
"Brazil",2023,"High Capacity",58.9843450972322
"Canada",2023,"Baseline",74.2887661399013
"Canada",2023,"Low Capacity",74.2887661399013
"Canada",2023,"High Capacity",74.2887661399013
"Chile",2023,"Baseline",63.530689206762
"Chile",2023,"Low Capacity",63.530689206762
"Chile",2023,"High Capacity",63.530689206762
"China",2023,"Baseline",56.6483121257277
"China",2023,"Low Capacity",56.6483121257277
"China",2023,"High Capacity",56.6483121257277
"Colombia",2023,"Baseline",53.5813318953896
"Colombia",2023,"Low Capacity",53.5813318953896
"Colombia",2023,"High Capacity",53.5813318953896
"Czechia",2023,"Baseline",71.3564401622718
"Czechia",2023,"Low Capacity",71.3564401622718
"Czechia",2023,"High Capacity",71.3564401622718
"Denmark",2023,"Baseline",73.480738605162
"Denmark",2023,"Low Capacity",73.480738605162
"Denmark",2023,"High Capacity",73.480738605162
"Eastern Europe/Central Asia",2023,"Baseline",66.9329222720478
"Eastern Europe/Central Asia",2023,"Low Capacity",66.9329222720478
"Eastern Europe/Central Asia",2023,"High Capacity",66.9329222720478
"Egypt",2023,"Baseline",73.5072289156627
"Egypt",2023,"Low Capacity",73.5072289156627
"Egypt",2023,"High Capacity",73.5072289156627
"Ethiopia",2023,"Baseline",53.7093555093555
"Ethiopia",2023,"Low Capacity",53.7093555093555
"Ethiopia",2023,"High Capacity",53.7093555093555
"Finland",2023,"Baseline",73.466104904982
"Finland",2023,"Low Capacity",73.466104904982
"Finland",2023,"High Capacity",73.466104904982
"France",2023,"Baseline",55.1462832791364
"France",2023,"Low Capacity",55.1462832791364
"France",2023,"High Capacity",55.1462832791364
"Germany",2023,"Baseline",66.2011419405121
"Germany",2023,"Low Capacity",66.2011419405121
"Germany",2023,"High Capacity",66.2011419405121
"Greece",2023,"Baseline",66.6462527654867
"Greece",2023,"Low Capacity",66.6462527654867
"Greece",2023,"High Capacity",66.6462527654867
"Hungary",2023,"Baseline",69.3406867079281
"Hungary",2023,"Low Capacity",69.3406867079281
"Hungary",2023,"High Capacity",69.3406867079281
"India",2023,"Baseline",33.9819030883663
"India",2023,"Low Capacity",33.9819030883663
"India",2023,"High Capacity",33.9819030883663
"Indonesia",2023,"Baseline",55.5922294928722
"Indonesia",2023,"Low Capacity",55.5922294928722
"Indonesia",2023,"High Capacity",55.5922294928722
"Iran",2023,"Baseline",75.135593220339
"Iran",2023,"Low Capacity",75.135593220339
"Iran",2023,"High Capacity",75.135593220339
"Ireland",2023,"Baseline",70.7330688497061
"Ireland",2023,"Low Capacity",70.7330688497061
"Ireland",2023,"High Capacity",70.7330688497061
"Israel",2023,"Baseline",67.0450790192976
"Israel",2023,"Low Capacity",67.0450790192976
"Israel",2023,"High Capacity",67.0450790192976
"Italy",2023,"Baseline",54.9820702636466
"Italy",2023,"Low Capacity",54.9820702636466
"Italy",2023,"High Capacity",54.9820702636466
"Japan",2023,"Baseline",52.3702155149015
"Japan",2023,"Low Capacity",52.3702155149015
"Japan",2023,"High Capacity",52.3702155149015
"Kenya",2023,"Baseline",62.2224489795918
"Kenya",2023,"Low Capacity",62.2224489795918
"Kenya",2023,"High Capacity",62.2224489795918
"Malaysia",2023,"Baseline",73.1855733795795
"Malaysia",2023,"Low Capacity",73.1855733795795
"Malaysia",2023,"High Capacity",73.1855733795795
"Mexico",2023,"Baseline",70.0038074398249
"Mexico",2023,"Low Capacity",70.0038074398249
"Mexico",2023,"High Capacity",70.0038074398249
"Morocco",2023,"Baseline",32.577358490566
"Morocco",2023,"Low Capacity",32.577358490566
"Morocco",2023,"High Capacity",32.577358490566
"Netherlands",2023,"Baseline",67.939920810148
"Netherlands",2023,"Low Capacity",67.939920810148
"Netherlands",2023,"High Capacity",67.939920810148
"New Zealand",2023,"Baseline",67.7842772017079
"New Zealand",2023,"Low Capacity",67.7842772017079
"New Zealand",2023,"High Capacity",67.7842772017079
"Nigeria",2023,"Baseline",65.6646153846154
"Nigeria",2023,"Low Capacity",65.6646153846154
"Nigeria",2023,"High Capacity",65.6646153846154
"Norway",2023,"Baseline",73.643677376468
"Norway",2023,"Low Capacity",73.643677376468
"Norway",2023,"High Capacity",73.643677376468
"Pakistan",2023,"Baseline",58.9454545454545
"Pakistan",2023,"Low Capacity",58.9454545454545
"Pakistan",2023,"High Capacity",58.9454545454545
"Peru",2023,"Baseline",66.7996441281139
"Peru",2023,"Low Capacity",66.7996441281139
"Peru",2023,"High Capacity",66.7996441281139
"Philippines",2023,"Baseline",64.6906040268456
"Philippines",2023,"Low Capacity",64.6906040268456
"Philippines",2023,"High Capacity",64.6906040268456
"Poland",2023,"Baseline",69.1312010974494
"Poland",2023,"Low Capacity",69.1312010974494
"Poland",2023,"High Capacity",69.1312010974494
"Portugal",2023,"Baseline",67.1476848174247
"Portugal",2023,"Low Capacity",67.1476848174247
"Portugal",2023,"High Capacity",67.1476848174247
"Rest of EU",2023,"Baseline",66.5740735497115
"Rest of EU",2023,"Low Capacity",66.5740735497115
"Rest of EU",2023,"High Capacity",66.5740735497115
"Rest of Middle East/Africa",2023,"Baseline",75.135593220339
"Rest of Middle East/Africa",2023,"Low Capacity",75.135593220339
"Rest of Middle East/Africa",2023,"High Capacity",75.135593220339
"Rest of South America",2023,"Baseline",69.2317885462555
"Rest of South America",2023,"Low Capacity",69.2317885462555
"Rest of South America",2023,"High Capacity",69.2317885462555
"Rest of South Asia/Oceania",2023,"Baseline",64.0215268358845
"Rest of South Asia/Oceania",2023,"Low Capacity",64.0215268358845
"Rest of South Asia/Oceania",2023,"High Capacity",64.0215268358845
"Romania",2023,"Baseline",49.864071082391
"Romania",2023,"Low Capacity",49.864071082391
"Romania",2023,"High Capacity",49.864071082391
"Russia",2023,"Baseline",53.2804699738903
"Russia",2023,"Low Capacity",53.2804699738903
"Russia",2023,"High Capacity",53.2804699738903
"Saudi Arabia",2023,"Baseline",104.905874673629
"Saudi Arabia",2023,"Low Capacity",104.905874673629
"Saudi Arabia",2023,"High Capacity",104.905874673629
"Singapore",2023,"Baseline",72.2866309012876
"Singapore",2023,"Low Capacity",72.2866309012876
"Singapore",2023,"High Capacity",72.2866309012876
"Slovakia",2023,"Baseline",71.7454413367236
"Slovakia",2023,"Low Capacity",71.7454413367236
"Slovakia",2023,"High Capacity",71.7454413367236
"South Africa",2023,"Baseline",78.9207196029777
"South Africa",2023,"Low Capacity",78.9207196029777
"South Africa",2023,"High Capacity",78.9207196029777
"South Korea",2023,"Baseline",72.1780671805818
"South Korea",2023,"Low Capacity",72.1780671805818
"South Korea",2023,"High Capacity",72.1780671805818
"Spain",2023,"Baseline",63.62223417378
"Spain",2023,"Low Capacity",63.62223417378
"Spain",2023,"High Capacity",63.62223417378
"Sweden",2023,"Baseline",73.1906219752345
"Sweden",2023,"Low Capacity",73.1906219752345
"Sweden",2023,"High Capacity",73.1906219752345
"Switzerland",2023,"Baseline",70.4184475753258
"Switzerland",2023,"Low Capacity",70.4184475753258
"Switzerland",2023,"High Capacity",70.4184475753258
"Thailand",2023,"Baseline",56.1894668586028
"Thailand",2023,"Low Capacity",56.1894668586028
"Thailand",2023,"High Capacity",56.1894668586028
"Turkey",2023,"Baseline",67.5905577278079
"Turkey",2023,"Low Capacity",67.5905577278079
"Turkey",2023,"High Capacity",67.5905577278079
"United Arab Emirates",2023,"Baseline",80.4342171472808
"United Arab Emirates",2023,"Low Capacity",80.4342171472808
"United Arab Emirates",2023,"High Capacity",80.4342171472808
"United Kingdom",2023,"Baseline",70.3980219105028
"United Kingdom",2023,"Low Capacity",70.3980219105028
"United Kingdom",2023,"High Capacity",70.3980219105028
"United States",2023,"Baseline",82.1451424281387
"United States",2023,"Low Capacity",82.1451424281387
"United States",2023,"High Capacity",82.1451424281387
"Uruguay",2023,"Baseline",58.3288461538462
"Uruguay",2023,"Low Capacity",58.3288461538462
"Uruguay",2023,"High Capacity",58.3288461538462
"Venezuela",2023,"Baseline",69.2317885462555
"Venezuela",2023,"Low Capacity",69.2317885462555
"Venezuela",2023,"High Capacity",69.2317885462555
"Vietnam",2023,"Baseline",62.9467697160883
"Vietnam",2023,"Low Capacity",62.9467697160883
"Vietnam",2023,"High Capacity",62.9467697160883
"Western Europe non EU",2023,"Baseline",72.4967279969651
"Western Europe non EU",2023,"Low Capacity",72.4967279969651
"Western Europe non EU",2023,"High Capacity",72.4967279969651
"Algeria",2024,"Baseline",76.9666666666667
"Algeria",2024,"Low Capacity",76.9666666666667
"Algeria",2024,"High Capacity",76.9666666666667
"Argentina",2024,"Baseline",44.7060941828255
"Argentina",2024,"Low Capacity",44.7060941828255
"Argentina",2024,"High Capacity",44.7060941828255
"Australia",2024,"Baseline",68.6759738338648
"Australia",2024,"Low Capacity",68.6759738338648
"Australia",2024,"High Capacity",68.6759738338648
"Austria",2024,"Baseline",71.8900261533633
"Austria",2024,"Low Capacity",71.8900261533633
"Austria",2024,"High Capacity",71.8900261533633
"Belgium",2024,"Baseline",73.2548605610748
"Belgium",2024,"Low Capacity",73.2548605610748
"Belgium",2024,"High Capacity",73.2548605610748
"Bolivia",2024,"Baseline",59.282962962963
"Bolivia",2024,"Low Capacity",59.282962962963
"Bolivia",2024,"High Capacity",59.282962962963
"Brazil",2024,"Baseline",48.4002018558217
"Brazil",2024,"Low Capacity",48.4002018558217
"Brazil",2024,"High Capacity",48.4002018558217
"Canada",2024,"Baseline",80.0832013922788
"Canada",2024,"Low Capacity",80.0832013922788
"Canada",2024,"High Capacity",80.0832013922788
"Chile",2024,"Baseline",66.5496158392435
"Chile",2024,"Low Capacity",66.5496158392435
"Chile",2024,"High Capacity",66.5496158392435
"China",2024,"Baseline",57.1489002485433
"China",2024,"Low Capacity",57.1489002485433
"China",2024,"High Capacity",57.1489002485433
"Colombia",2024,"Baseline",56.4497612243016
"Colombia",2024,"Low Capacity",56.4497612243016
"Colombia",2024,"High Capacity",56.4497612243016
"Czechia",2024,"Baseline",70.2204309656824
"Czechia",2024,"Low Capacity",70.2204309656824
"Czechia",2024,"High Capacity",70.2204309656824
"Denmark",2024,"Baseline",73.6670596711862
"Denmark",2024,"Low Capacity",73.6670596711862
"Denmark",2024,"High Capacity",73.6670596711862
"Eastern Europe/Central Asia",2024,"Baseline",73.0066413050487
"Eastern Europe/Central Asia",2024,"Low Capacity",73.0066413050487
"Eastern Europe/Central Asia",2024,"High Capacity",73.0066413050487
"Egypt",2024,"Baseline",69.0582375478927
"Egypt",2024,"Low Capacity",69.0582375478927
"Egypt",2024,"High Capacity",69.0582375478927
"Ethiopia",2024,"Baseline",58.3735294117647
"Ethiopia",2024,"Low Capacity",58.3735294117647
"Ethiopia",2024,"High Capacity",58.3735294117647
"Finland",2024,"Baseline",74.1119996496453
"Finland",2024,"Low Capacity",74.1119996496453
"Finland",2024,"High Capacity",74.1119996496453
"France",2024,"Baseline",57.8118241624981
"France",2024,"Low Capacity",57.8118241624981
"France",2024,"High Capacity",57.8118241624981
"Germany",2024,"Baseline",72.0540909761545
"Germany",2024,"Low Capacity",72.0540909761545
"Germany",2024,"High Capacity",72.0540909761545
"Greece",2024,"Baseline",64.8040218270008
"Greece",2024,"Low Capacity",64.8040218270008
"Greece",2024,"High Capacity",64.8040218270008
"Hungary",2024,"Baseline",66.7082368609774
"Hungary",2024,"Low Capacity",66.7082368609774
"Hungary",2024,"High Capacity",66.7082368609774
"India",2024,"Baseline",33.7464546968929
"India",2024,"Low Capacity",33.7464546968929
"India",2024,"High Capacity",33.7464546968929
"Indonesia",2024,"Baseline",51.361985933142
"Indonesia",2024,"Low Capacity",51.361985933142
"Indonesia",2024,"High Capacity",51.361985933142
"Iran",2024,"Baseline",66.8747598146794
"Iran",2024,"Low Capacity",66.8747598146794
"Iran",2024,"High Capacity",66.8747598146794
"Ireland",2024,"Baseline",70.7407131192161
"Ireland",2024,"Low Capacity",70.7407131192161
"Ireland",2024,"High Capacity",70.7407131192161
"Israel",2024,"Baseline",68.819495314728
"Israel",2024,"Low Capacity",68.819495314728
"Israel",2024,"High Capacity",68.819495314728
"Italy",2024,"Baseline",56.5289894671783
"Italy",2024,"Low Capacity",56.5289894671783
"Italy",2024,"High Capacity",56.5289894671783
"Japan",2024,"Baseline",52.5765466816648
"Japan",2024,"Low Capacity",52.5765466816648
"Japan",2024,"High Capacity",52.5765466816648
"Kenya",2024,"Baseline",41.7029748283753
"Kenya",2024,"Low Capacity",41.7029748283753
"Kenya",2024,"High Capacity",41.7029748283753
"Malaysia",2024,"Baseline",66.1869198670891
"Malaysia",2024,"Low Capacity",66.1869198670891
"Malaysia",2024,"High Capacity",66.1869198670891
"Mexico",2024,"Baseline",66.3715422222222
"Mexico",2024,"Low Capacity",66.3715422222222
"Mexico",2024,"High Capacity",66.3715422222222
"Morocco",2024,"Baseline",47.8910769230769
"Morocco",2024,"Low Capacity",47.8910769230769
"Morocco",2024,"High Capacity",47.8910769230769
"Netherlands",2024,"Baseline",70.2790739559975
"Netherlands",2024,"Low Capacity",70.2790739559975
"Netherlands",2024,"High Capacity",70.2790739559975
"New Zealand",2024,"Baseline",71.8295861642989
"New Zealand",2024,"Low Capacity",71.8295861642989
"New Zealand",2024,"High Capacity",71.8295861642989
"Nigeria",2024,"Baseline",58.1087719298245
"Nigeria",2024,"Low Capacity",58.1087719298245
"Nigeria",2024,"High Capacity",58.1087719298245
"Norway",2024,"Baseline",72.929133721794
"Norway",2024,"Low Capacity",72.929133721794
"Norway",2024,"High Capacity",72.929133721794
"Pakistan",2024,"Baseline",45.6427536231884
"Pakistan",2024,"Low Capacity",45.6427536231884
"Pakistan",2024,"High Capacity",45.6427536231884
"Peru",2024,"Baseline",64.9736342042755
"Peru",2024,"Low Capacity",64.9736342042755
"Peru",2024,"High Capacity",64.9736342042755
"Philippines",2024,"Baseline",61.9099099099099
"Philippines",2024,"Low Capacity",61.9099099099099
"Philippines",2024,"High Capacity",61.9099099099099
"Poland",2024,"Baseline",69.8442119550464
"Poland",2024,"Low Capacity",69.8442119550464
"Poland",2024,"High Capacity",69.8442119550464
"Portugal",2024,"Baseline",66.3848155792874
"Portugal",2024,"Low Capacity",66.3848155792874
"Portugal",2024,"High Capacity",66.3848155792874
"Rest of EU",2024,"Baseline",68.4072204674668
"Rest of EU",2024,"Low Capacity",68.4072204674668
"Rest of EU",2024,"High Capacity",68.4072204674668
"Rest of Middle East/Africa",2024,"Baseline",66.8747598146794
"Rest of Middle East/Africa",2024,"Low Capacity",66.8747598146794
"Rest of Middle East/Africa",2024,"High Capacity",66.8747598146794
"Rest of South America",2024,"Baseline",62.65970280846
"Rest of South America",2024,"Low Capacity",62.65970280846
"Rest of South America",2024,"High Capacity",62.65970280846
"Rest of South Asia/Oceania",2024,"Baseline",68.9418850202429
"Rest of South Asia/Oceania",2024,"Low Capacity",68.9418850202429
"Rest of South Asia/Oceania",2024,"High Capacity",68.9418850202429
"Romania",2024,"Baseline",55.5785688005887
"Romania",2024,"Low Capacity",55.5785688005887
"Romania",2024,"High Capacity",55.5785688005887
"Russia",2024,"Baseline",58.3134666955017
"Russia",2024,"Low Capacity",58.3134666955017
"Russia",2024,"High Capacity",58.3134666955017
"Saudi Arabia",2024,"Baseline",90.8918686052773
"Saudi Arabia",2024,"Low Capacity",90.8918686052773
"Saudi Arabia",2024,"High Capacity",90.8918686052773
"Singapore",2024,"Baseline",67.5081697525807
"Singapore",2024,"Low Capacity",67.5081697525807
"Singapore",2024,"High Capacity",67.5081697525807
"Slovakia",2024,"Baseline",72.2436394271272
"Slovakia",2024,"Low Capacity",72.2436394271272
"Slovakia",2024,"High Capacity",72.2436394271272
"South Africa",2024,"Baseline",77.3991678224688
"South Africa",2024,"Low Capacity",77.3991678224688
"South Africa",2024,"High Capacity",77.3991678224688
"South Korea",2024,"Baseline",68.2738313128486
"South Korea",2024,"Low Capacity",68.2738313128486
"South Korea",2024,"High Capacity",68.2738313128486
"Spain",2024,"Baseline",65.8674816903183
"Spain",2024,"Low Capacity",65.8674816903183
"Spain",2024,"High Capacity",65.8674816903183
"Sweden",2024,"Baseline",74.1467913472337
"Sweden",2024,"Low Capacity",74.1467913472337
"Sweden",2024,"High Capacity",74.1467913472337
"Switzerland",2024,"Baseline",71.2739332558526
"Switzerland",2024,"Low Capacity",71.2739332558526
"Switzerland",2024,"High Capacity",71.2739332558526
"Thailand",2024,"Baseline",59.1096653187645
"Thailand",2024,"Low Capacity",59.1096653187645
"Thailand",2024,"High Capacity",59.1096653187645
"Turkey",2024,"Baseline",69.232699754363
"Turkey",2024,"Low Capacity",69.232699754363
"Turkey",2024,"High Capacity",69.232699754363
"United Arab Emirates",2024,"Baseline",82.3589372266225
"United Arab Emirates",2024,"Low Capacity",82.3589372266225
"United Arab Emirates",2024,"High Capacity",82.3589372266225
"United Kingdom",2024,"Baseline",70.6342010422866
"United Kingdom",2024,"Low Capacity",70.6342010422866
"United Kingdom",2024,"High Capacity",70.6342010422866
"United States",2024,"Baseline",87.0557473819442
"United States",2024,"Low Capacity",87.0557473819442
"United States",2024,"High Capacity",87.0557473819442
"Uruguay",2024,"Baseline",53.4092373424482
"Uruguay",2024,"Low Capacity",53.4092373424482
"Uruguay",2024,"High Capacity",53.4092373424482
"Venezuela",2024,"Baseline",62.65970280846
"Venezuela",2024,"Low Capacity",62.65970280846
"Venezuela",2024,"High Capacity",62.65970280846
"Vietnam",2024,"Baseline",52.3028665707267
"Vietnam",2024,"Low Capacity",52.3028665707267
"Vietnam",2024,"High Capacity",52.3028665707267
"Western Europe non EU",2024,"Baseline",71.0232039131764
"Western Europe non EU",2024,"Low Capacity",71.0232039131764
"Western Europe non EU",2024,"High Capacity",71.0232039131764
"Algeria",2025,"Baseline",76.9666666666667
"Algeria",2025,"Low Capacity",74.0606060606061
"Algeria",2025,"High Capacity",78.1515151515152
"Argentina",2025,"Baseline",44.7060941828255
"Argentina",2025,"Low Capacity",44.7328128934777
"Argentina",2025,"High Capacity",48.8237219843868
"Australia",2025,"Baseline",68.6759738338648
"Australia",2025,"Low Capacity",66.5236125762407
"Australia",2025,"High Capacity",70.6145216671498
"Austria",2025,"Baseline",71.8900261533633
"Austria",2025,"Low Capacity",69.4454783212394
"Austria",2025,"High Capacity",73.5363874121484
"Belgium",2025,"Baseline",73.2548605610748
"Belgium",2025,"Low Capacity",70.6862368737044
"Belgium",2025,"High Capacity",74.7771459646135
"Bolivia",2025,"Baseline",59.282962962963
"Bolivia",2025,"Low Capacity",57.9845117845118
"Bolivia",2025,"High Capacity",62.0754208754209
"Brazil",2025,"Baseline",48.4002018558217
"Brazil",2025,"Low Capacity",48.0910925962015
"Brazil",2025,"High Capacity",52.1820016871106
"Canada",2025,"Baseline",80.0832013922788
"Canada",2025,"Low Capacity",76.8938194475262
"Canada",2025,"High Capacity",80.9847285384353
"Chile",2025,"Baseline",66.5496158392435
"Chile",2025,"Low Capacity",64.5905598538577
"Chile",2025,"High Capacity",68.6814689447668
"China",2025,"Baseline",57.1489002485433
"China",2025,"Low Capacity",56.044454771403
"China",2025,"High Capacity",60.1353638623121
"Colombia",2025,"Baseline",56.4497612243016
"Colombia",2025,"Low Capacity",55.4088738402742
"Colombia",2025,"High Capacity",59.4997829311833
"Czechia",2025,"Baseline",70.2204309656824
"Czechia",2025,"Low Capacity",67.9276645142567
"Czechia",2025,"High Capacity",72.0185736051658
"Denmark",2025,"Baseline",73.6670596711862
"Denmark",2025,"Low Capacity",71.060963337442
"Denmark",2025,"High Capacity",75.1518724283511
"Eastern Europe/Central Asia",2025,"Baseline",73.0066413050487
"Eastern Europe/Central Asia",2025,"Low Capacity",70.4605830045897
"Eastern Europe/Central Asia",2025,"High Capacity",74.5514920954988
"Egypt",2025,"Baseline",69.0582375478927
"Egypt",2025,"Low Capacity",66.8711250435388
"Egypt",2025,"High Capacity",70.9620341344479
"Ethiopia",2025,"Baseline",58.3735294117647
"Ethiopia",2025,"Low Capacity",57.1577540106952
"Ethiopia",2025,"High Capacity",61.2486631016043
"Finland",2025,"Baseline",74.1119996496453
"Finland",2025,"Low Capacity",71.4654542269503
"Finland",2025,"High Capacity",75.5563633178594
"France",2025,"Baseline",57.8118241624981
"France",2025,"Low Capacity",56.6471128749983
"France",2025,"High Capacity",60.7380219659074
"Germany",2025,"Baseline",72.0540909761545
"Germany",2025,"Low Capacity",69.5946281601405
"Germany",2025,"High Capacity",73.6855372510495
"Greece",2025,"Baseline",64.8040218270008
"Greece",2025,"Low Capacity",63.0036562063644
"Greece",2025,"High Capacity",67.0945652972734
"Hungary",2025,"Baseline",66.7082368609774
"Hungary",2025,"Low Capacity",64.7347607827067
"Hungary",2025,"High Capacity",68.8256698736158
"India",2025,"Baseline",33.7464546968929
"India",2025,"Low Capacity",34.7695042699026
"India",2025,"High Capacity",38.8604133608117
"Indonesia",2025,"Baseline",51.361985933142
"Indonesia",2025,"Low Capacity",50.7836235755836
"Indonesia",2025,"High Capacity",54.8745326664927
"Iran",2025,"Baseline",66.8747598146794
"Iran",2025,"Low Capacity",64.8861452860722
"Iran",2025,"High Capacity",68.9770543769813
"Ireland",2025,"Baseline",70.7407131192161
"Ireland",2025,"Low Capacity",68.4006482901965
"Ireland",2025,"High Capacity",72.4915573811055
"Israel",2025,"Baseline",68.819495314728
"Israel",2025,"Low Capacity",66.6540866497527
"Israel",2025,"High Capacity",70.7449957406618
"Italy",2025,"Baseline",56.5289894671783
"Italy",2025,"Low Capacity",55.4808995156166
"Italy",2025,"High Capacity",59.5718086065257
"Japan",2025,"Baseline",52.5765466816648
"Japan",2025,"Low Capacity",51.8877697106044
"Japan",2025,"High Capacity",55.9786788015135
"Kenya",2025,"Baseline",41.7029748283753
"Kenya",2025,"Low Capacity",42.0027043894321
"Kenya",2025,"High Capacity",46.0936134803412
"Malaysia",2025,"Baseline",66.1869198670891
"Malaysia",2025,"Low Capacity",64.2608362428083
"Malaysia",2025,"High Capacity",68.3517453337174
"Mexico",2025,"Baseline",66.3715422222222
"Mexico",2025,"Low Capacity",64.4286747474747
"Mexico",2025,"High Capacity",68.5195838383838
"Morocco",2025,"Baseline",47.8910769230769
"Morocco",2025,"Low Capacity",47.6282517482517
"Morocco",2025,"High Capacity",51.7191608391608
"Netherlands",2025,"Baseline",70.2790739559975
"Netherlands",2025,"Low Capacity",67.9809763236341
"Netherlands",2025,"High Capacity",72.0718854145432
"New Zealand",2025,"Baseline",71.8295861642989
"New Zealand",2025,"Low Capacity",69.3905328766354
"New Zealand",2025,"High Capacity",73.4814419675445
"Nigeria",2025,"Baseline",58.1087719298245
"Nigeria",2025,"Low Capacity",56.9170653907495
"Nigeria",2025,"High Capacity",61.0079744816586
"Norway",2025,"Baseline",72.929133721794
"Norway",2025,"Low Capacity",70.3901215652673
"Norway",2025,"High Capacity",74.4810306561764
"Pakistan",2025,"Baseline",45.6427536231884
"Pakistan",2025,"Low Capacity",45.5843214756258
"Pakistan",2025,"High Capacity",49.6752305665349
"Peru",2025,"Baseline",64.9736342042755
"Peru",2025,"Low Capacity",63.1578492766141
"Peru",2025,"High Capacity",67.2487583675232
"Philippines",2025,"Baseline",61.9099099099099
"Philippines",2025,"Low Capacity",60.3726453726454
"Philippines",2025,"High Capacity",64.4635544635545
"Poland",2025,"Baseline",69.8442119550464
"Poland",2025,"Low Capacity",67.5856472318604
"Poland",2025,"High Capacity",71.6765563227695
