"c","Year","capacity_scenario","kwh_veh"
"Australia",2016,"High Capacity",69.3664383561644
"Austria",2016,"Baseline",35.9526289558933
"Austria",2016,"Low Capacity",35.9526289558933
"Austria",2016,"High Capacity",35.9526289558933
"Belgium",2016,"Baseline",45.8407707910751
"Belgium",2016,"Low Capacity",45.8407707910751
"Belgium",2016,"High Capacity",45.8407707910751
"Brazil",2016,"Baseline",23.8678571428571
"Brazil",2016,"Low Capacity",23.8678571428571
"Brazil",2016,"High Capacity",23.8678571428571
"Canada",2016,"Baseline",55.8982632188344
"Canada",2016,"Low Capacity",55.8982632188344
"Canada",2016,"High Capacity",55.8982632188344
"Chile",2016,"Baseline",6.1
"Chile",2016,"Low Capacity",6.1
"Chile",2016,"High Capacity",6.1
"China",2016,"Baseline",35.04671054698
"China",2016,"Low Capacity",35.04671054698
"China",2016,"High Capacity",35.04671054698
"Colombia",2016,"Baseline",11.320202020202
"Colombia",2016,"Low Capacity",11.320202020202
"Colombia",2016,"High Capacity",11.320202020202
"Czechia",2016,"Baseline",38.8122171945701
"Czechia",2016,"Low Capacity",38.8122171945701
"Czechia",2016,"High Capacity",38.8122171945701
"Denmark",2016,"Baseline",33.8171875
"Denmark",2016,"Low Capacity",33.8171875
"Denmark",2016,"High Capacity",33.8171875
"Eastern Europe/Central Asia",2016,"Baseline",35.6597222222222
"Eastern Europe/Central Asia",2016,"Low Capacity",35.6597222222222
"Eastern Europe/Central Asia",2016,"High Capacity",35.6597222222222
"Finland",2016,"Baseline",57.0559829059829
"Finland",2016,"Low Capacity",57.0559829059829
"Finland",2016,"High Capacity",57.0559829059829
"France",2016,"Baseline",26.543665068666
"France",2016,"Low Capacity",26.543665068666
"France",2016,"High Capacity",26.543665068666
"Germany",2016,"Baseline",31.2917089360636
"Germany",2016,"Low Capacity",31.2917089360636
"Germany",2016,"High Capacity",31.2917089360636
"Greece",2016,"Baseline",31.219512195122
"Greece",2016,"Low Capacity",31.219512195122
"Greece",2016,"High Capacity",31.219512195122
"Hungary",2016,"Baseline",29.6192307692308
"Hungary",2016,"Low Capacity",29.6192307692308
"Hungary",2016,"High Capacity",29.6192307692308
"India",2016,"Baseline",10
"India",2016,"Low Capacity",10
"India",2016,"High Capacity",10
"Ireland",2016,"Baseline",29.2944055944056
"Ireland",2016,"Low Capacity",29.2944055944056
"Ireland",2016,"High Capacity",29.2944055944056
"Israel",2016,"Baseline",26
"Israel",2016,"Low Capacity",26
"Israel",2016,"High Capacity",26
"Italy",2016,"Baseline",29.1453110492108
"Italy",2016,"Low Capacity",29.1453110492108
"Italy",2016,"High Capacity",29.1453110492108
"Japan",2016,"Baseline",28.9355865286834
"Japan",2016,"Low Capacity",28.9355865286834
"Japan",2016,"High Capacity",28.9355865286834
"Malaysia",2016,"Baseline",32.7772727272727
"Malaysia",2016,"Low Capacity",32.7772727272727
"Malaysia",2016,"High Capacity",32.7772727272727
"Mexico",2016,"Baseline",25.8104575163399
"Mexico",2016,"Low Capacity",25.8104575163399
"Mexico",2016,"High Capacity",25.8104575163399
"Morocco",2016,"Baseline",6.1
"Morocco",2016,"Low Capacity",6.1
"Morocco",2016,"High Capacity",6.1
"Netherlands",2016,"Baseline",54.7089631336406
"Netherlands",2016,"Low Capacity",54.7089631336406
"Netherlands",2016,"High Capacity",54.7089631336406
"New Zealand",2016,"Baseline",33.8644736842105
"New Zealand",2016,"Low Capacity",33.8644736842105
"New Zealand",2016,"High Capacity",33.8644736842105
"Norway",2016,"Baseline",34.037425029988
"Norway",2016,"Low Capacity",34.037425029988
"Norway",2016,"High Capacity",34.037425029988
"Poland",2016,"Baseline",35.1094117647059
"Poland",2016,"Low Capacity",35.1094117647059
"Poland",2016,"High Capacity",35.1094117647059
"Portugal",2016,"Baseline",27.9199561403509
"Portugal",2016,"Low Capacity",27.9199561403509
"Portugal",2016,"High Capacity",27.9199561403509
"Rest of EU",2016,"Baseline",37.2246478873239
