"c","chemistry","share_units","bench_Region","year"
"Algeria","NMC 622",0.122209431313142,"Rest of the World",2030
"Algeria","NMC 622",0.120288642186425,"Rest of the World",2031
"Algeria","NMC 622",0.11862804571484,"Rest of the World",2032
"Algeria","NMC 622",0.117190542854221,"Rest of the World",2033
"Algeria","NMC 622",0.115642598979259,"Rest of the World",2034
"Algeria","NMC 622",0.114630486867441,"Rest of the World",2035
"Algeria","NMC 622",0.113758861674725,"Rest of the World",2036
"Algeria","NMC 622",0.112333226104599,"Rest of the World",2037
"Algeria","NMC 622",0.109723546893795,"Rest of the World",2038
"Algeria","NMC 622",0.105494363455963,"Rest of the World",2039
"Algeria","NMC 622",0.105494363455963,"Rest of the World",2040
"Algeria","NMC 622",0.103717704713353,"Rest of the World",2041
"Algeria","NMC 622",0.101961634065312,"Rest of the World",2042
"Algeria","NMC 622",0.100226229739215,"Rest of the World",2043
"Algeria","NMC 622",0.0985115577864142,"Rest of the World",2044
"Algeria","NMC 622",0.0968176723194646,"Rest of the World",2045
"Algeria","NMC 622",0.095144615757954,"Rest of the World",2046
"Algeria","NMC 622",0.0934924190822361,"Rest of the World",2047
"Algeria","NMC 622",0.0918611020943473,"Rest of the World",2048
"Algeria","NMC 622",0.0902506736854027,"Rest of the World",2049
"Algeria","NMC 622",0.0886611321087834,"Rest of the World",2050
"Argentina","NMC 811",0.457397452297475,"South America",2024
"Argentina","NMC 811",0.451841280227802,"South America",2025
"Argentina","NMC 811",0.449629350480978,"South America",2026
"Argentina","NMC 811",0.449987981152171,"South America",2027
"Argentina","NMC 811",0.456355693320234,"South America",2028
"Argentina","NMC 811",0.467409626580181,"South America",2029
"Argentina","NMC 811",0.469374819049787,"South America",2030
"Argentina","NMC 811",0.464301533985268,"South America",2031
"Argentina","NMC 811",0.461078901799573,"South America",2032
"Argentina","NMC 811",0.458523230584051,"South America",2033
"Argentina","NMC 811",0.457501346777296,"South America",2034
"Argentina","NMC 811",0.459442572056533,"South America",2035
"Argentina","NMC 811",0.464571076624659,"South America",2036
"Argentina","NMC 811",0.472899290306777,"South America",2037
"Argentina","NMC 811",0.48558185445661,"South America",2038
"Argentina","NMC 811",0.507610597110272,"South America",2039
"Argentina","NMC 811",0.501683021437894,"South America",2040
"Argentina","NMC 811",0.510247874476713,"South America",2041
"Argentina","NMC 811",0.518807989155491,"South America",2042
"Argentina","NMC 811",0.527361160969672,"South America",2043
"Argentina","NMC 811",0.535904957627824,"South America",2044
"Argentina","NMC 811",0.544436731130278,"South America",2045
"Argentina","NMC 811",0.552953631074243,"South America",2046
"Argentina","NMC 811",0.561452619026432,"South America",2047
"Argentina","NMC 811",0.569930483811942,"South America",2048
"Argentina","NMC 811",0.578383857575033,"South America",2049
"Argentina","NMC 811",0.586809232473633,"South America",2050
"Argentina","LFP",0.293628808864266,"South America",2024
"Argentina","LFP",0.32595793227517,"South America",2025
"Argentina","LFP",0.351735543480973,"South America",2026
"Argentina","LFP",0.361951380537696,"South America",2027
"Argentina","LFP",0.360003290223404,"South America",2028
"Argentina","LFP",0.354194125236321,"South America",2029
"Argentina","LFP",0.355568063244607,"South America",2030
"Argentina","LFP",0.361451202994768,"South America",2031
"Argentina","LFP",0.365691497360853,"South America",2032
"Argentina","LFP",0.37060901134973,"South America",2033
"Argentina","LFP",0.37594426779167,"South America",2034
"Argentina","LFP",0.38052782852598,"South America",2035
"Argentina","LFP",0.383009732396115,"South America",2036
"Argentina","LFP",0.383914071503786,"South America",2037
"Argentina","LFP",0.382745792239397,"South America",2038
"Argentina","LFP",0.375557805571198,"South America",2039
"Argentina","LFP",0.3828496713864,"South America",2040
"Argentina","LFP",0.38168701493277,"South America",2041
"Argentina","LFP",0.380083925401333,"South America",2042
"Argentina","LFP",0.378066847069538,"South America",2043
"Argentina","LFP",0.375661396887799,"South America",2044
"Argentina","LFP",0.372892363054173,"South America",2045
"Argentina","LFP",0.369783708391504,"South America",2046
"Argentina","LFP",0.366358577528565,"South America",2047
